#{"t_start": 1781431384.0562732, "env_id": "None"}
r,l,t
-9947.196481,3600,6020.642449
-12109.568566,3600,6042.57623
-10587.966605,3600,6064.427025
-12549.184044,3600,6085.907143
-13083.035808,3600,6107.776189
-11524.996518,3600,6129.274534
-10369.974049,3600,6151.106674
-7539.419756,3600,6172.617778
-13240.769884,3600,6194.632638
-10414.838191,3600,6216.477495
-10964.377589,3600,6238.054139
-12206.926282,3600,6259.419867
-10262.1719,3600,6281.442116
-9117.382408,3600,6303.146064
-9799.648134,3600,6324.66125
-11256.42534,3600,6346.428565
-8142.802594,3600,6368.364752
-10300.849889,3600,6390.320425
-12451.697832,3600,6411.62831
-9961.558533,3600,6433.969659
-9213.373302,3600,6455.47594
-10232.433804,3600,6476.908751
-9525.170304,3600,6498.517284
-8455.55909,3600,6519.948889
-11199.88026,3600,6541.744169
-10425.767866,3600,6562.561764
-11172.745893,3600,6584.723055
-6408.127868,3600,6606.512017
-8718.057941,3600,6631.42289
-11665.749989,3600,6655.893667
-11845.347735,3600,6679.453947
-10695.107285,3600,6703.782516
-10222.041241,3600,6727.36597
-12735.946882,3600,6751.931239
-9047.549071,3600,6775.308322
-11457.959662,3600,6798.702137
-9461.120456,3600,6822.728608
-10752.861621,3600,6846.453357
-9375.225465,3600,6871.870085
-11271.879232,3600,6896.57496
-11486.481802,3600,6919.673923
-8566.161411,3600,6943.614366
-10264.037883,3600,6966.425613
-9380.046403,3600,6989.590705
-9813.405061,3600,7013.165969
-10317.945747,3600,7036.828675
-11437.706728,3600,7060.284195
-8701.09398,3600,7084.016026
-10625.681013,3600,7107.741701
-11686.460547,3600,7131.787422
-7678.442588,3600,7155.913257
-11675.125469,3600,7180.762814
-8973.56884,3600,7204.131558
-7885.834842,3600,7227.896157
-10165.564365,3600,7253.285225
-11111.154147,3600,7275.922487
-11944.484767,3600,7300.113873
-12143.70336,3600,7324.478735
-8957.316488,3600,7351.611227
-9365.395831,3600,7376.756718
-11080.208826,3600,7404.268901
-9449.233814,3600,7431.032978
-10473.952205,3600,7455.723788
-11001.222138,3600,7480.724554
-10489.138478,3600,7504.252702
-10255.900305,3600,7529.289245
-11611.894162,3600,7553.764506
-9843.378904,3600,7577.256247
-9373.5957,3600,7600.969384
-10678.935658,3600,7624.498264
-11056.86927,3600,7647.876588
-11016.811535,3600,7671.124066
-12275.883454,3600,7694.119622
-11041.259992,3600,7717.035461
-10200.671975,3600,7740.454086
-11032.668716,3600,7764.972946
-9484.130984,3600,7787.644531
-9827.790027,3600,7810.471949
-10310.506642,3600,7833.968621
-10289.260203,3600,7856.930351
-9362.902994,3600,7880.284173
-10553.975739,3600,7903.889472
-9189.882213,3600,7926.63602
-9474.446935,3600,7949.613626
-12080.779036,3600,7972.867226
-12108.59134,3600,7996.538772
-9059.945341,3600,8020.346206
-10734.631306,3600,8044.057543
-9244.587415,3600,8067.300975
-9487.895698,3600,8091.597088
-11174.920067,3600,8113.992536
-10215.22244,3600,8137.271535
-11737.846403,3600,8160.979514
-8907.330338,3600,8182.777699
-10325.832238,3600,8205.393421
-9406.770151,3600,8227.348664
-10436.081009,3600,8250.395072
-8521.791588,3600,8273.07393
-9413.071646,3600,8297.104614
-10424.487988,3600,8321.292914
-8329.816338,3600,8345.333803
-11030.480005,3600,8368.320746
-10983.805703,3600,8391.612736
-9183.421122,3600,8415.743288
-11082.117708,3600,8439.031816
-12191.575393,3600,8462.857938
-10998.282999,3600,8485.651474
-11211.050578,3600,8508.827569
-11117.722593,3600,8532.916115
-9655.668634,3600,8556.703243
-9704.212529,3600,8580.084041
-12457.372289,3600,8604.110041
-9982.519479,3600,8627.556953
-10548.549688,3600,8650.906948
-10554.87212,3600,8675.330837
-9280.274362,3600,8698.422092
-9321.948372,3600,8721.261674
-9358.19553,3600,8744.109502
-8628.492484,3600,8767.464602
-11195.631767,3600,8792.569172
-10992.278779,3600,8816.209718
-8798.971611,3600,8839.285447
-10936.889204,3600,8862.650929
-10322.911949,3600,8888.293037
-10100.893847,3600,8912.968775
-9408.580439,3600,8936.483158
-10809.159016,3600,8958.994218
-8947.228713,3600,8982.523887
-8617.709488,3600,9006.46872
-9349.657647,3600,9029.973137
-11412.212776,3600,9052.571507
-11436.385802,3600,9074.987564
-11581.047692,3600,9099.28829
-11299.360494,3600,9124.839874
-12326.725704,3600,9149.394836
-13380.599485,3600,9173.021531
-10156.775907,3600,9199.18688
-8721.97635,3600,9224.122423
-10587.920396,3600,9249.504786
-12376.406309,3600,9273.842195
-9518.579812,3600,9297.659961
-10734.957402,3600,9320.601361
-9000.799291,3600,9342.751051
-9106.734842,3600,9365.449538
-10091.728702,3600,9387.338553
-8304.43457,3600,9409.976052
-10482.310607,3600,9432.217392
-10609.173996,3600,9454.33579
-10678.390258,3600,9477.788817
-9566.355187,3600,9499.378023
-10146.73333,3600,9522.603715
-10128.17851,3600,9544.368392
-9325.771103,3600,9566.476683
-12456.688102,3600,9588.942322
-9361.521386,3600,9610.962115
-10930.445694,3600,9633.550236
-10347.451955,3600,9655.200758
-11006.525235,3600,9677.59832
-9742.428212,3600,9699.796649
-11629.01211,3600,9721.746705
-10462.637612,3600,9743.927283
-10889.05621,3600,9766.136037
-8912.28009,3600,9788.231438
-11063.181933,3600,9810.0393
-10737.714563,3600,9831.942001
-10825.772247,3600,9854.206132
-9019.857748,3600,9875.881242
-7715.707388,3600,9897.376896
-10488.498921,3600,9920.033708
-10632.177038,3600,9941.178336
-10999.90443,3600,9963.516611
-9863.000138,3600,9985.704143
-9212.251092,3600,10007.652676
-13628.111919,3600,10030.276711
-9632.43118,3600,10052.338032
-10392.807455,3600,10074.539763
-10972.730105,3600,10096.813374
-11098.849293,3600,10118.698865
-12144.152554,3600,10141.050492
-8859.425842,3600,10163.36181
-8563.039495,3600,10185.756594
-9880.012894,3600,10207.794669
-11319.818697,3600,10230.088702
-10377.797376,3600,10252.522741
-10936.756801,3600,10274.589391
-11123.699701,3600,10297.225719
-10140.76582,3600,10319.43049
-9843.255255,3600,10341.844604
-11329.029747,3600,10364.020923
-9411.748396,3600,10386.199982
-9499.108486,3600,10407.773151
-10802.436747,3600,10429.857148
-6678.369167,3600,10451.319136
-9910.58777,3600,10473.400208
-12718.253716,3600,10495.107425
-10966.89593,3600,10517.231889
-10133.049827,3600,10539.678707
-11263.73535,3600,10561.547784
-7165.265787,3600,10583.519339
-11820.842653,3600,10605.430841
-10598.387987,3600,10627.814028
-12345.137897,3600,10649.791992
-10557.751165,3600,10671.564854
-11070.098151,3600,10692.788553
-9367.841752,3600,10715.143738
-11138.214685,3600,10737.228827
-9746.162626,3600,10759.2847
-10454.71483,3600,10780.815338
-9172.438039,3600,10802.903042
-11837.155633,3600,10824.93013
-10163.796019,3600,10846.752371
-10180.564327,3600,10869.101924
-11353.220128,3600,10891.080586
-12358.052271,3600,10913.16604
-10710.617958,3600,10935.172735
-8919.555624,3600,10957.415748
-10282.638039,3600,10979.220476
-9498.946748,3600,11001.254421
-9415.40143,3600,11023.171536
-11167.507892,3600,11044.977669
-12685.060054,3600,11067.09877
-10731.24823,3600,11089.258727
-9805.409316,3600,11111.024903
-9671.677896,3600,11132.899079
-10875.363061,3600,11155.025309
-9832.078066,3600,11177.097836
-9311.917514,3600,11198.933926
-12297.484581,3600,11220.897777
-8898.904395,3600,11243.339552
-9707.076564,3600,11265.388769
-9928.939428,3600,11287.346388
-9090.040525,3600,11309.201583
-9147.017572,3600,11330.811053
-9774.882945,3600,11352.953774
-11284.774066,3600,11374.801528
-12464.42844,3600,11396.727058
-10039.301585,3600,11418.371001
-11790.364707,3600,11440.966571
-11057.316917,3600,11462.743287
-10901.514896,3600,11484.613567
-9671.748448,3600,11506.780732
-10254.756504,3600,11528.843366
-9738.077704,3600,11550.475425
-8081.833149,3600,11572.015854
-10884.987545,3600,11593.771409
-11290.260067,3600,11615.308374
-9618.01455,3600,11637.443301
-11426.640593,3600,11658.941293
-9995.466512,3600,11681.26485
-10347.453764,3600,11703.44976
-11376.609487,3600,11724.752127
-10873.292141,3600,11746.930302
-10369.681211,3600,11768.490849
-8504.229355,3600,11790.497403
-10380.072318,3600,11812.447552
-9023.765475,3600,11835.079021
-11857.850919,3600,11857.536889
-9923.45705,3600,11879.926187
-11775.76206,3600,11902.072829
-11634.623315,3600,11923.956847
-9202.998822,3600,11945.823606
-10829.264892,3600,11968.140905
-8967.296755,3600,11990.542731
-8396.696618,3600,12012.607742
-9718.311264,3600,12034.518488
-8565.111022,3600,12056.546242
-11532.668512,3600,12078.349671
-8767.979897,3600,12101.278481
-9443.881158,3600,12123.600881
-9493.082156,3600,12145.917225
-8655.409831,3600,12167.499415
-11164.118387,3600,12189.26899
-7282.143591,3600,12211.538183
-8522.607156,3600,12233.519331
-11882.13886,3600,12255.794627
-9605.151132,3600,12277.967766
-12082.265487,3600,12300.040144
-11623.33764,3600,12322.401731
-11673.753259,3600,12343.975786
-8990.390695,3600,12365.516315
-10151.132491,3600,12387.98845
